name,country,tier,display,cost_v8,cost_prod,cost_delta%,rent_v8,rent_prod,rent_delta%,cost_source,rent_source,salary_override,fh,ubs_risk,osm
纽约,美国,S,keep,4669,4370,6.8,3337,2815,18.5,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1.2×BEA-RPP1.23,Zillow-ZORI-2026-03-31,,83,low,90
伦敦,英国,A,keep,4459,2908,53.3,3057,1606,90.3,v4:US3200×geomean(wbPLI=0.86;digPLI=1.00)×prem1.2×Eurostat-PLI1.25,ONS-2026,,91,low,86
东京,日本,A,keep,1962,2985,-34.3,1443,1620,-10.9,v4:US3200×geomean(wbPLI=0.62;digPLI=0.42)×prem1.2×none1.00,InsideAirbnb×13.6,,96,high,79
北京,中国,A,keep,1885,1492,26.3,737,804,-8.3,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1.2×none1.00,prod-USD(804)×NBS-2hand-YoY(91.7%),,9,,35
上海,中国,A,keep,1885,1526,23.5,773,824,-6.2,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1.2×none1.00,prod-USD(824)×NBS-2hand-YoY(93.8%),,9,,39
悉尼,澳大利亚,B,keep,2968,3225,-8.0,1128,1506,-25.1,v4:US3200×geomean(wbPLI=0.90;digPLI=0.67)×prem1.2×none1.00,cost×rentShare(0.38),,95,moderate,57
新加坡,新加坡,B,keep,2906,2530,14.9,1104,1448,-23.8,v4:US3200×geomean(wbPLI=0.60;digPLI=0.75)×prem1.35×none1.00,cost×rentShare(0.38),,48,moderate,22
巴黎,法国,B,keep,3559,2651,34.3,1352,1443,-6.3,v4:US3200×geomean(wbPLI=0.74;digPLI=0.97)×prem1.2×Eurostat-PLI1.09,cost×rentShare(0.38),,89,low,
多伦多,加拿大,A,keep,2511,2629,-4.5,1240,1709,-27.4,v4:US3200×geomean(wbPLI=0.84;digPLI=0.73)×prem1×none1.00,StatCan-CMHC-2024,,97,moderate,70
香港,中国香港,B,keep,2947,2309,27.6,1120,1308,-14.4,v4:US3200×geomean(wbPLI=0.72;digPLI=0.65)×prem1.35×none1.00,cost×rentShare(0.38),,41,,56
洛杉矶,美国,S,keep,3707,4163,-11.0,2895,2682,7.9,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.17,Zillow-ZORI-2026-03-31,,83,elevated,
旧金山,美国,S,keep,4646,4348,6.9,3161,2801,12.9,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1.2×BEA-RPP1.22,Zillow-ZORI-2026-03-31,174910→203836(16.5%),83,low,62
芝加哥,美国,S,keep,3246,3645,-10.9,2180,2349,-7.2,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP1.02,Zillow-ZORI-2026-03-31,,83,,47
迪拜,阿联酋,B,keep,2130,2073,2.7,809,1159,-30.2,v4:US3200×geomean(wbPLI=0.63;digPLI=0.48)×prem1.2×none1.00,cost×rentShare(0.38),,18,elevated,11
阿姆斯特丹,荷兰,B,keep,4123,2814,46.5,3957,1546,156.0,v4:US3200×geomean(wbPLI=0.78;digPLI=1.03)×prem1.2×Eurostat-PLI1.19,InsideAirbnb×13.6,,97,elevated,70
苏黎世,瑞士,B,keep,8417,3770,123.3,2554,2170,17.7,v4:US3200×geomean(wbPLI=1.08;digPLI=1.34)×prem1.2×Eurostat-PLI1.82,InsideAirbnb×13.6,,96,high,
